Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_6_2M38_-2D.csv	4294.31	12.00	92.94	68139	1	20930.6	0	0
SAIDA_7_2M38_+2D.csv	3272.32	9.00	68.66	65124	1	16450	0	0
SAIDA_8_2M38_+2D.csv	4176.35	11.00	74.41	65176	1	17442	0	0
SAIDA_1_2M38_+2D.csv	3635.58	11.00	87.33	64660	1	21090.2	0	0
SAIDA_10_2M38_0D.csv	3224.53	10.00	74.27	61903	1	19136.5	0	0
SAIDA_10_2M38_+1D.csv	5008.00	11.00	85.29	68293	1	20068.2	0	0
SAIDA_5_2M38_+1D.csv	3523.66	10.00	82.18	67411	1	19430.2	0	0
SAIDA_6_2M38_0D.csv	4142.87	11.00	76.20	64232	1	19259.2	0	0
SAIDA_10_2M38_+2D.csv	4046.93	11.00	78.69	64252	1	19185.6	0	0
SAIDA_2_2M38_+2D.csv	4040.36	10.00	88.17	63485	1	22036	0	0
SAIDA_6_2M38_-1D.csv	3564.26	10.00	108.21	91713	1	18710.6	0	0
SAIDA_6_2M38_+2D.csv	3443.82	11.00	78.00	62887	1	19516.3	0	0
SAIDA_5_2M38_-2D.csv	3928.61	11.00	91.01	69792	1	20701.1	0	0
SAIDA_10_2M38_-1D.csv	3567.41	10.00	79.74	63083	1	19794.2	0	0
SAIDA_9_2M38_-2D.csv	4457.70	16.02	93.94	67901	1	21445.9	0	0
SAIDA_6_2M38_+1D.csv	3832.16	10.00	88.66	64773	1	21567.4	0	0
SAIDA_4_2M38_+1D.csv	3733.50	11.00	71.57	61480	1	18488.2	0	0
SAIDA_4_2M38_-2D.csv	4320.95	17.02	87.48	64915	1	20805.1	0	0
SAIDA_7_2M38_+1D.csv	4417.95	11.00	85.61	65698	1	20758.8	0	0
SAIDA_4_2M38_+2D.csv	4479.43	10.00	81.28	63844	1	20346	0	0
SAIDA_5_2M38_0D.csv	3272.30	13.00	80.95	64539	1	19830.5	0	0
SAIDA_2_2M38_-2D.csv	4604.71	12.00	74.36	62469	1	18171.3	0	0
SAIDA_7_2M38_-1D.csv	4511.22	9.00	80.05	64836	1	19048.8	0	0
SAIDA_9_2M38_0D.csv	4573.51	9.00	77.53	68367	1	17601.4	0	0
SAIDA_2_2M38_0D.csv	4118.15	11.00	81.48	63125	1	20075.4	0	0
SAIDA_1_2M38_-1D.csv	3318.73	10.00	81.92	64683	1	20079.1	0	0
SAIDA_9_2M38_-1D.csv	3863.03	10.00	99.89	82482	1	18984.4	0	0
SAIDA_4_2M38_0D.csv	3687.25	10.00	81.28	63921	1	20075.5	0	0
SAIDA_3_2M38_0D.csv	3770.69	11.00	85.52	65471	1	20562	0	0
SAIDA_7_2M38_0D.csv	4153.00	12.00	86.68	65514	1	20706.8	0	0
SAIDA_5_2M38_-1D.csv	3346.02	11.00	78.68	65551	1	18810.7	0	0
SAIDA_2_2M38_+1D.csv	4222.56	11.00	76.78	63046	1	18857.3	0	0
SAIDA_8_2M38_+1D.csv	4110.58	10.00	81.52	65744	1	19934	0	0
SAIDA_1_2M38_-2D.csv	4013.20	9.00	85.66	71620	1	19251.9	0	0
SAIDA_8_2M38_-2D.csv	4472.48	11.00	85.62	65718	1	21140.8	0	0
SAIDA_5_2M38_+2D.csv	3871.23	10.00	76.38	64114	1	18595.5	0	0
SAIDA_2_2M38_-1D.csv	3699.51	11.00	76.20	62696	1	19144.2	0	0
SAIDA_4_2M38_-1D.csv	3861.27	10.00	85.43	66134	1	19995.3	0	0
SAIDA_3_2M38_-2D.csv	4614.03	12.00	75.76	63648	1	19131	0	0
SAIDA_1_2M38_+1D.csv	4859.97	10.00	78.57	62236	1	19921.8	0	0
SAIDA_3_2M38_+1D.csv	3471.03	10.00	84.05	64417	1	20100	0	0
SAIDA_10_2M38_-2D.csv	2878.03	13.00	72.25	63426	1	17462.9	0	0
SAIDA_9_2M38_+1D.csv	4234.23	10.00	76.62	64643	1	18656.2	0	0
SAIDA_1_2M38_0D.csv	3146.75	10.00	79.73	64292	1	19560.3	0	0
SAIDA_3_2M38_-1D.csv	4420.03	10.00	127.77	109660	1	18566.3	0	0
SAIDA_9_2M38_+2D.csv	3443.98	11.00	84.25	76770	1	17530.3	0	0
SAIDA_8_2M38_-1D.csv	4345.06	12.00	77.95	63888	1	19142.7	0	0
SAIDA_3_2M38_+2D.csv	3775.24	11.00	69.77	59633	1	18229	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
SAIDA_7_2M38_-2D.csv	2961.40	13.00	79.95	65407	1	19198.3	0	0
SAIDA_8_2M38_0D.csv	3619.40	10.00	84.34	66628	1	19814.4	0	0
