Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_9_6M163_-7D.csv	11078.29	52.00	1263.28	1479967	0	0	0	0
SAIDA_8_6M163_+7D.csv	8290.84	52.00	939.36	1136726	0	0	0	0
SAIDA_2_6M163_-7D.csv	11816.43	55.00	1320.44	1468316	0	0	0	0
SAIDA_2_6M163_0D.csv	8804.32	49.00	1014.40	1286883	0	0	0	0
SAIDA_5_6M163_-14D.csv	14851.37	85.77	1310.22	1698341	0	0	0	0
SAIDA_9_6M163_-14D.csv	13473.59	84.89	882.09	1582640	0	0	0	0
SAIDA_2_6M163_+7D.csv	7479.35	52.00	983.19	1125038	0	0	0	0
SAIDA_10_6M163_-7D.csv	11590.55	89.00	337.81	569323	0	0	0	0
SAIDA_3_6M163_+7D.csv	7253.79	54.00	766.01	932281	0	0	0	0
SAIDA_7_6M163_0D.csv	8634.11	52.00	1122.61	1250440	0	0	0	0
SAIDA_5_6M163_+7D.csv	7251.96	54.00	808.96	1159599	0	0	0	0
SAIDA_5_6M163_+14D.csv	7679.11	50.00	826.07	1081420	0	0	0	0
SAIDA_7_6M163_-7D.csv	9869.94	56.00	1145.09	1501394	0	0	0	0
SAIDA_9_6M163_+7D.csv	8384.50	53.00	820.03	1074020	0	0	0	0
SAIDA_4_6M163_+14D.csv	8137.71	55.00	680.68	890639	0	0	0	0
SAIDA_7_6M163_+14D.csv	7167.81	51.00	898.28	1195503	0	0	0	0
SAIDA_7_6M163_-14D.csv	14946.81	87.77	1106.17	1485357	0	0	0	0
SAIDA_6_6M163_+7D.csv	8278.38	51.00	1021.06	1167237	0	0	0	0
SAIDA_1_6M163_+7D.csv	8553.56	51.00	881.37	1099178	0	0	0	0
SAIDA_10_6M163_0D.csv	8230.56	52.00	977.10	1151656	0	0	0	0
SAIDA_2_6M163_+14D.csv	7654.19	53.00	827.98	1100195	0	0	0	0
SAIDA_4_6M163_0D.csv	9013.25	52.00	1146.68	1308660	0	0	0	0
SAIDA_1_6M163_-14D.csv	15154.62	89.00	1557.06	1527123	0	0	0	0
SAIDA_4_6M163_-14D.csv	15414.63	88.77	1242.80	1740557	0	0	0	0
SAIDA_10_6M163_+14D.csv	8026.14	52.00	748.88	992634	0	0	0	0
SAIDA_3_6M163_+14D.csv	7072.78	53.00	819.54	1121398	0	0	0	0
SAIDA_1_6M163_0D.csv	8643.48	53.00	1019.73	1162376	0	0	0	0
SAIDA_8_6M163_0D.csv	8453.49	56.00	715.00	897042	0	0	0	0
SAIDA_6_6M163_-7D.csv	10617.41	55.00	921.21	1526135	0	0	0	0
SAIDA_8_6M163_-14D.csv	14790.77	94.19	1081.12	1381065	0	0	0	0
SAIDA_1_6M163_-7D.csv	11602.83	62.00	874.27	979827	0	0	0	0
SAIDA_3_6M163_0D.csv	7003.27	51.00	974.85	1164580	0	0	0	0
SAIDA_8_6M163_-7D.csv	9902.05	56.00	718.79	1275519	0	0	0	0
SAIDA_7_6M163_+7D.csv	7368.69	52.00	981.68	1124051	0	0	0	0
SAIDA_5_6M163_-7D.csv	11606.96	56.00	1205.80	1384614	0	0	0	0
SAIDA_3_6M163_-7D.csv	11139.49	55.00	1175.26	1446220	0	0	0	0
SAIDA_9_6M163_0D.csv	7922.12	53.00	827.89	1146839	0	0	0	0
SAIDA_6_6M163_0D.csv	8711.96	54.00	999.01	1246717	0	0	0	0
SAIDA_6_6M163_-14D.csv	14728.39	117.00	471.84	841142	0	0	0	0
SAIDA_9_6M163_+14D.csv	8040.43	54.00	777.79	1036092	0	0	0	0
SAIDA_8_6M163_+14D.csv	7062.58	51.00	843.11	1129008	0	0	0	0
SAIDA_6_6M163_+14D.csv	7945.19	49.00	872.01	1128237	0	0	0	0
SAIDA_3_6M163_-14D.csv	14060.12	88.70	1258.51	1866873	0	0	0	0
SAIDA_5_6M163_0D.csv	9323.26	54.00	1027.43	1151545	0	0	0	0
SAIDA_4_6M163_-7D.csv	11609.51	59.00	906.53	1236995	0	0	0	0
SAIDA_10_6M163_+7D.csv	8145.00	54.00	874.27	948771	0	0	0	0
SAIDA_1_6M163_+14D.csv	7499.53	56.00	787.71	1027134	0	0	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
SAIDA_2_6M163_-14D.csv	12490.69	90.00	947.50	1467424	0	0	0	0
SAIDA_10_6M163_-14D.csv	15392.74	82.19	1608.72	1557833	0	0	0	0
SAIDA_4_6M163_+7D.csv	7429.55	48.00	912.21	1114208	0	0	0	0
