Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_8_6M163_53C.csv	8347.43	70.00	993.13	1199746	0	0	0	0
SAIDA_1_6M163_110C.csv	7756.83	40.00	1047.33	1200684	0	0	0	0
SAIDA_8_6M163_110C.csv	10311.33	42.00	948.82	1086376	0	0	0	0
SAIDA_9_6M163_95C.csv	8261.76	46.00	1097.16	1206576	0	0	0	0
SAIDA_5_6M163_53C.csv	9871.74	69.00	1051.05	1385369	0	0	0	0
SAIDA_7_6M163_80C.csv	7942.42	53.00	1015.67	1331957	0	0	0	0
SAIDA_3_6M163_65C.csv	8930.17	67.00	728.27	974178	0	0	0	0
SAIDA_5_6M163_95C.csv	9494.90	50.00	890.13	1047193	0	0	0	0
SAIDA_3_6M163_53C.csv	9493.65	68.00	1179.74	1357834	0	0	0	0
SAIDA_5_6M163_80C.csv	7810.92	95.00	230.27	314163	0	0	0	0
SAIDA_9_6M163_110C.csv	7914.02	38.00	1112.70	1250266	0	0	0	0
SAIDA_4_6M163_80C.csv	9274.05	54.00	931.07	1208869	0	0	0	0
SAIDA_7_6M163_53C.csv	9051.62	69.00	1112.82	1470574	0	0	0	0
SAIDA_1_6M163_95C.csv	9391.19	46.00	951.28	1153490	0	0	0	0
SAIDA_2_6M163_65C.csv	9297.04	70.00	768.26	996175	0	0	0	0
SAIDA_7_6M163_110C.csv	8376.70	41.00	907.08	1030860	0	0	0	0
SAIDA_4_6M163_110C.csv	8972.64	40.00	859.54	1000373	0	0	0	0
SAIDA_10_6M163_110C.csv	9440.08	53.00	573.67	710831	0	0	0	0
SAIDA_6_6M163_80C.csv	9231.18	51.00	1023.81	1344288	0	0	0	0
SAIDA_8_6M163_95C.csv	8947.90	51.00	799.09	967330	0	0	0	0
SAIDA_4_6M163_65C.csv	9803.09	62.00	863.26	1158788	0	0	0	0
SAIDA_9_6M163_80C.csv	9121.01	52.00	848.73	1176810	0	0	0	0
SAIDA_6_6M163_53C.csv	9241.53	69.00	1070.31	1293230	0	0	0	0
SAIDA_7_6M163_95C.csv	9191.00	45.00	1077.03	1327195	0	0	0	0
SAIDA_8_6M163_65C.csv	7393.02	62.00	943.64	1129008	0	0	0	0
SAIDA_4_6M163_53C.csv	9471.95	72.00	974.45	1250210	0	0	0	0
SAIDA_2_6M163_95C.csv	8552.36	46.00	962.54	1185699	0	0	0	0
SAIDA_6_6M163_95C.csv	9039.36	49.00	796.20	950983	0	0	0	0
SAIDA_2_6M163_110C.csv	8961.97	43.00	1007.81	1179770	0	0	0	0
SAIDA_10_6M163_80C.csv	9241.11	58.00	723.07	927226	0	0	0	0
SAIDA_9_6M163_53C.csv	9837.64	73.00	1002.00	1040894	0	0	0	0
SAIDA_3_6M163_110C.csv	8813.34	38.00	943.36	1224998	0	0	0	0
SAIDA_1_6M163_53C.csv	8354.38	69.00	1078.98	1334426	0	0	0	0
SAIDA_10_6M163_53C.csv	9648.92	68.00	1212.45	1171607	0	0	0	0
SAIDA_10_6M163_95C.csv	9789.09	46.00	1221.60	1398057	0	0	0	0
SAIDA_5_6M163_65C.csv	8613.00	60.00	974.42	1321596	0	0	0	0
SAIDA_4_6M163_95C.csv	8665.13	43.00	955.76	1191649	0	0	0	0
SAIDA_1_6M163_65C.csv	8999.74	64.00	854.66	1201859	0	0	0	0
SAIDA_3_6M163_80C.csv	8870.27	55.00	911.59	1201483	0	0	0	0
SAIDA_7_6M163_65C.csv	9632.53	58.00	929.83	1356751	0	0	0	0
SAIDA_6_6M163_65C.csv	9024.43	59.00	895.19	1217904	0	0	0	0
SAIDA_10_6M163_65C.csv	9531.85	65.00	988.85	1182612	0	0	0	0
SAIDA_1_6M163_80C.csv	9632.44	51.00	1012.01	1196167	0	0	0	0
SAIDA_3_6M163_95C.csv	8947.25	43.00	1041.91	1410373	0	0	0	0
SAIDA_2_6M163_53C.csv	8846.72	69.00	1044.35	1328592	0	0	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
SAIDA_2_6M163_80C.csv	8961.28	53.00	848.53	1141185	0	0	0	0
SAIDA_8_6M163_80C.csv	9422.10	57.00	744.97	1026184	0	0	0	0
SAIDA_6_6M163_110C.csv	9577.73	38.00	1137.13	1327649	0	0	0	0
SAIDA_5_6M163_110C.csv	9230.64	46.00	822.57	944624	0	0	0	0
SAIDA_9_6M163_65C.csv	9983.25	58.00	930.96	1243270	0	0	0	0
