Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_4_2M46_0D.csv	7527.59	18.00	176.44	77257	1	36573	0	0
SAIDA_3_2M46_-2D.csv	5928.22	22.00	225.79	89510	1	39961.6	0	0
SAIDA_1_2M46_+1D.csv	6678.86	17.00	189.50	74781	1	39677.7	0	0
SAIDA_6_2M46_0D.csv	7056.27	17.00	189.13	73216	1	42206.4	0	0
SAIDA_5_2M46_-2D.csv	6353.26	22.65	203.28	75339	1	42821.7	0	0
SAIDA_3_2M46_-1D.csv	7359.23	17.00	218.48	83329	1	42602.8	0	0
SAIDA_6_2M46_-1D.csv	6442.24	16.00	200.08	77032	1	40338.9	0	0
SAIDA_3_2M46_+2D.csv	6702.21	17.00	195.79	78672	1	40368.7	0	0
SAIDA_2_2M46_-1D.csv	7262.16	18.00	206.17	76649	1	43324.6	0	0
SAIDA_8_2M46_-1D.csv	6918.86	17.00	193.69	75461	1	41046.5	0	0
SAIDA_10_2M46_0D.csv	6935.37	18.00	173.87	79922	1	35051.4	0	0
SAIDA_10_2M46_+2D.csv	6641.11	16.00	189.02	73228	1	40332.3	0	0
SAIDA_6_2M46_+1D.csv	6097.32	18.00	284.76	111120	1	41451.6	0	0
SAIDA_1_2M46_-2D.csv	6628.07	23.65	191.41	77246	1	39891.2	0	0
SAIDA_7_2M46_+1D.csv	7445.25	17.00	181.15	73841	1	39437.8	0	0
SAIDA_1_2M46_0D.csv	7474.54	16.00	193.30	78418	1	39409.7	0	0
SAIDA_6_2M46_-2D.csv	7542.44	21.00	219.14	87449	1	40178.3	0	0
SAIDA_8_2M46_0D.csv	6918.80	18.00	182.74	73272	1	40917.6	0	0
SAIDA_3_2M46_0D.csv	6403.46	16.00	195.64	81583	1	39641.2	0	0
SAIDA_5_2M46_+1D.csv	6798.65	17.00	194.83	74067	1	42103.2	0	0
SAIDA_9_2M46_+1D.csv	6678.48	17.00	170.86	72016	1	37915.9	0	0
SAIDA_9_2M46_0D.csv	7227.11	16.00	304.47	122212	1	40309.1	0	0
SAIDA_4_2M46_-1D.csv	7390.39	18.00	222.46	84397	1	42463.5	0	0
SAIDA_5_2M46_0D.csv	6392.78	17.00	181.35	77143	1	37628.9	0	0
SAIDA_1_2M46_-1D.csv	7544.97	17.00	228.55	88029	1	41751.1	0	0
SAIDA_7_2M46_-1D.csv	7295.95	18.00	181.52	73345	1	39452.7	0	0
SAIDA_5_2M46_+2D.csv	7022.81	17.00	191.84	76591	1	41070.2	0	0
SAIDA_2_2M46_+2D.csv	6713.33	17.00	208.24	79198	1	42324.3	0	0
SAIDA_7_2M46_-2D.csv	7266.88	21.65	195.72	78580	1	39911.6	0	0
SAIDA_7_2M46_+2D.csv	7726.97	18.00	185.94	76936	1	39023.9	0	0
SAIDA_4_2M46_+2D.csv	6787.14	16.00	200.38	77498	1	41114.6	0	0
SAIDA_5_2M46_-1D.csv	6530.11	16.00	217.99	86048	1	41032.2	0	0
SAIDA_2_2M46_-2D.csv	6569.83	20.65	210.39	80536	1	41461.4	0	0
SAIDA_8_2M46_-2D.csv	7105.85	21.00	196.23	81621	1	39141.5	0	0
SAIDA_8_2M46_+2D.csv	6866.39	17.00	180.50	74157	1	39258.2	0	0
SAIDA_10_2M46_+1D.csv	7181.17	17.00	198.50	77568	1	40687.2	0	0
SAIDA_10_2M46_-1D.csv	6170.92	19.00	183.78	75312	1	39507.9	0	0
SAIDA_8_2M46_+1D.csv	6334.11	17.00	200.99	80205	1	41382.9	0	0
SAIDA_6_2M46_+2D.csv	6273.12	17.00	187.30	75200	1	39518.4	0	0
SAIDA_7_2M46_0D.csv	6107.44	18.00	180.61	71420	1	41610.2	0	0
SAIDA_2_2M46_+1D.csv	7603.41	17.00	193.60	77282	1	40594.8	0	0
SAIDA_10_2M46_-2D.csv	7125.88	22.65	199.18	80014	1	39949.7	0	0
SAIDA_2_2M46_0D.csv	x4830.04	17.00	180.77	70870	1	41076.1	0	0
SAIDA_3_2M46_+1D.csv	6431.10	17.00	185.81	74303	1	39154.4	0	0
SAIDA_9_2M46_-2D.csv	7373.09	21.00	189.57	76403	1	39740.7	0	0
SAIDA_1_2M46_+2D.csv	7145.38	18.00	175.45	74495	1	38153.3	0	0
SAIDA_4_2M46_+1D.csv	7687.85	17.00	194.95	76389	1	40861.3	0	0
SAIDA_4_2M46_-2D.csv	7038.49	21.00	193.54	74893	1	42391	0	0
SAIDA_9_2M46_+2D.csv	6141.12	16.00	249.88	98133	1	41683.8	0	0
SAIDA_9_2M46_-1D.csv	8429.82	18.00	171.07	70447	1	39364.2	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
