,Dang et al. (2021),,,SSGA,,,,,,GAP,TEMPO - GAP,Tempo convertido SSGA,Gap tempo novo,
DIMENSÃO,MÉDIA,DESVPAD,TEMPO,MÉDIA,MÍNIMO,MÁXIMO,DESVPAD,TEMPO,ITERAÇÕES,,,,,
0.26,"13,50","1,84","486,42","13,00","10,00","16,00","1,70","361,64","785.820,50","-3,70%","-25,65%","687,12","41,26%","15,00"
0.38,"29,90","2,81","1.505,33","27,00","26,00","28,00","0,82","499,25","905.402,60","-9,70%","-66,83%","948,58","-36,99%",
0.50,"45,60","2,55","1.981,91","39,00","37,00","42,00","1,41","651,00","899.367,40","-14,47%","-67,15%","1.236,90","-37,59%",
0.63,"59,30","1,57","2.356,93","52,90","51,00","54,00","1,20","689,66","898.623,90","-10,79%","-70,74%","1.310,35","-44,40%",
0.75,"71,90","1,60","1.880,04","64,50","62,00","67,00","1,78","828,76","845.992,50","-10,29%","-55,92%","1.574,64","-16,24%",
53,"61,60","1,78","2.612,96","52,00","49,00","54,00","2,00","783,65","1.116.852,10","-15,58%","-70,01%","1.488,94","-43,02%",
65,"54,60","2,76","2.038,17","46,10","43,00","50,00","2,28","654,29","912.279,60","-15,57%","-67,90%","1.243,15","-39,01%",
80,"45,60","2,55","1.981,91","38,50","35,00","41,00","2,01","587,57","904.386,20","-15,57%","-70,35%","1.116,38","-43,67%",
95,"37,30","2,31","2.216,79","32,10","30,00","36,00","1,79","573,16","822.427,50","-13,94%","-74,14%","1.089,00","-50,87%",
110,"30,40","1,17","1.621,35","26,90","25,00","28,00","1,10","572,77","849.624,00","-11,51%","-64,67%","1.088,26","-32,88%",
-14,"58,30","2,58","2.581,52","49,80","48,00","54,00","1,87","824,41","1.179.016,80","-14,58%","-68,06%","1.566,38","-39,32%",
-7,"47,00","1,76","2.918,43","39,30","37,00","41,00","1,16","653,59","1.014.061,70","-16,38%","-77,60%","1.241,82","-57,45%",
0,"45,60","2,55","1.981,91","38,10","36,00","41,00","1,52","639,08","908.620,90","-16,45%","-67,75%","1.214,25","-38,73%",
7,"47,00","3,02","2.434,19","38,50","36,00","41,00","1,58","524,28","817.853,10","-18,09%","-78,46%","996,13","-59,08%",
14,"46,90","2,08","1.943,72","37,20","35,00","39,00","1,23","627,27","849.532,30","-20,68%","-67,73%","1.191,81","-38,68%",
,,"2,20","2.036,11",,,,"1,56","631,36","913.990,74","-13,82%","-66,20%","1.199,58","-35,78%",
