Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_5_6M163_0.63R.csv	8638.61	71.00	955.66	893850	0	0	0	0
SAIDA_8_6M163_0.63R.csv	9398.37	67.00	913.12	955469	0	0	0	0
SAIDA_7_6M163_0.26R.csv	8917.42	25.00	500.45	1394655	0	0	0	0
SAIDA_6_6M163_0.50R.csv	8265.70	53.00	637.21	1138353	0	0	0	0
SAIDA_6_6M163_0.26R.csv	8404.37	29.00	500.95	1368987	0	0	0	0
SAIDA_2_6M163_0.63R.csv	7619.21	65.00	1129.64	1208460	0	0	0	0
SAIDA_6_6M163_0.63R.csv	7022.00	66.00	1175.03	1205236	0	0	0	0
SAIDA_7_6M163_0.38R.csv	8673.75	41.00	770.52	1427813	0	0	0	0
SAIDA_1_6M163_0.26R.csv	9308.74	27.00	564.00	1259463	0	0	0	0
SAIDA_5_6M163_0.50R.csv	9532.90	55.00	599.11	1029669	0	0	0	0
SAIDA_9_6M163_0.50R.csv	8052.04	51.00	648.01	1162722	0	0	0	0
SAIDA_2_6M163_0.38R.csv	8089.06	41.00	742.89	1279864	0	0	0	0
SAIDA_4_6M163_0.38R.csv	8360.15	43.00	614.15	1293372	0	0	0	0
SAIDA_3_6M163_0.50R.csv	8857.08	50.00	813.73	1417256	0	0	0	0
SAIDA_7_6M163_0.50R.csv	9120.53	54.00	847.20	1263258	0	0	0	0
SAIDA_10_6M163_0.50R.csv	9921.87	98.00	218.53	323573	0	0	0	0
SAIDA_2_6M163_0.75R.csv	9156.05	78.00	999.85	998053	0	0	0	0
SAIDA_5_6M163_0.26R.csv	9007.76	72.00	183.51	454595	0	0	0	0
SAIDA_9_6M163_0.63R.csv	9477.35	67.00	1077.76	1031921	0	0	0	0
SAIDA_9_6M163_0.38R.csv	8712.94	43.00	718.59	1258486	0	0	0	0
SAIDA_10_6M163_0.75R.csv	9202.40	74.00	1412.15	1222628	0	0	0	0
SAIDA_2_6M163_0.50R.csv	8955.89	54.00	706.23	1212198	0	0	0	0
SAIDA_7_6M163_0.75R.csv	9253.01	76.00	1559.12	1281768	0	0	0	0
SAIDA_9_6M163_0.75R.csv	8827.28	77.00	945.32	1077491	0	0	0	0
SAIDA_8_6M163_0.26R.csv	9555.44	26.00	510.14	1428616	0	0	0	0
SAIDA_10_6M163_0.63R.csv	9013.25	66.00	1049.88	1040492	0	0	0	0
SAIDA_5_6M163_0.38R.csv	9264.57	39.00	646.52	1437959	0	0	0	0
SAIDA_3_6M163_0.26R.csv	7607.76	80.00	185.82	421306	0	0	0	0
SAIDA_4_6M163_0.26R.csv	8659.07	30.00	469.45	1414570	0	0	0	0
SAIDA_1_6M163_0.63R.csv	9931.75	70.00	1003.40	941029	0	0	0	0
SAIDA_4_6M163_0.50R.csv	8716.32	54.00	652.54	1126583	0	0	0	0
SAIDA_10_6M163_0.26R.csv	9488.73	28.00	451.36	1317533	0	0	0	0
SAIDA_3_6M163_0.75R.csv	8800.25	77.00	1585.62	1383285	0	0	0	0
SAIDA_6_6M163_0.38R.csv	9072.93	45.00	817.34	1282716	0	0	0	0
SAIDA_4_6M163_0.75R.csv	9878.51	79.00	1243.66	1067817	0	0	0	0
SAIDA_4_6M163_0.63R.csv	9558.02	65.00	1089.45	1093015	0	0	0	0
SAIDA_5_6M163_0.75R.csv	8776.67	84.00	1059.50	935407	0	0	0	0
SAIDA_1_6M163_0.50R.csv	9200.51	54.00	591.76	1063295	0	0	0	0
SAIDA_10_6M163_0.38R.csv	8466.70	47.00	636.16	1114744	0	0	0	0
SAIDA_6_6M163_0.75R.csv	9213.72	80.00	1050.48	1012511	0	0	0	0
SAIDA_1_6M163_0.75R.csv	7999.95	79.00	1109.41	1093421	0	0	0	0
SAIDA_2_6M163_0.26R.csv	8679.42	24.00	476.97	1435683	0	0	0	0
SAIDA_7_6M163_0.63R.csv	8929.18	69.00	977.54	920863	0	0	0	0
SAIDA_8_6M163_0.38R.csv	8827.49	46.00	607.77	1192535	0	0	0	0
SAIDA_3_6M163_0.63R.csv	8909.86	69.00	931.87	993926	0	0	0	0
SAIDA_3_6M163_0.38R.csv	9697.69	48.00	678.33	1152396	0	0	0	0
SAIDA_8_6M163_0.50R.csv	7783.67	54.00	657.63	1166306	0	0	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
SAIDA_1_6M163_0.38R.csv	8442.96	52.00	570.51	1106013	0	0	0	0
SAIDA_9_6M163_0.26R.csv	7939.77	22.00	613.59	1498148	0	0	0	0
SAIDA_8_6M163_0.75R.csv	9342.87	77.00	1209.17	1037831	0	0	0	0
