Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_5_2M46_0.76R.csv	7084.13	23.00	283.95	83832	1	54834.9	0	0
SAIDA_6_2M46_0.76R.csv	5716.14	26.00	217.92	70613	1	48938.1	0	0
SAIDA_9_2M46_0.24R.csv	6574.41	7.00	124.48	76803	1	25932.7	0	0
SAIDA_5_2M46_0.24R.csv	6372.28	7.00	122.71	74299	1	26614.3	0	0
SAIDA_7_2M46_0.50R.csv	6777.39	17.00	202.77	76629	1	41769.4	0	0
SAIDA_5_2M46_0.37R.csv	7010.22	13.00	164.94	78828	1	33651.1	0	0
SAIDA_7_2M46_0.76R.csv	5838.03	24.00	238.30	69185	1	54645.7	0	0
SAIDA_10_2M46_0.76R.csv	6470.03	23.00	282.75	91004	1	50291.9	0	0
SAIDA_1_2M46_0.50R.csv	6602.33	20.00	186.91	70560	1	42753.6	0	0
SAIDA_2_2M46_0.50R.csv	6020.68	16.00	231.56	85644	1	43030.1	0	0
SAIDA_3_2M46_0.63R.csv	6243.20	20.00	234.24	79741	1	47474.5	0	0
SAIDA_3_2M46_0.37R.csv	5209.72	14.00	158.35	74700	1	33281.1	0	0
SAIDA_10_2M46_0.63R.csv	6395.27	20.00	216.72	72659	1	48779.3	0	0
SAIDA_8_2M46_0.24R.csv	5843.22	6.00	146.65	87715	1	26797.4	0	0
SAIDA_10_2M46_0.24R.csv	6895.17	6.00	122.82	75774	1	26394.6	0	0
SAIDA_4_2M46_0.37R.csv	6520.92	13.00	146.74	70158	1	33697.2	0	0
SAIDA_2_2M46_0.76R.csv	6310.75	24.00	301.06	82765	1	57987.5	0	0
SAIDA_8_2M46_0.63R.csv	5831.54	20.00	219.40	76221	1	46465.8	0	0
SAIDA_3_2M46_0.76R.csv	5587.61	25.00	247.68	76802	1	52471.7	0	0
SAIDA_9_2M46_0.50R.csv	7047.75	17.00	195.63	75873	1	41433.9	0	0
SAIDA_6_2M46_0.24R.csv	6301.74	8.00	130.92	76871	1	26820.9	0	0
SAIDA_4_2M46_0.76R.csv	5780.13	23.00	256.69	72907	1	56169.3	0	0
SAIDA_1_2M46_0.37R.csv	5272.44	13.00	168.46	73786	1	35463.1	0	0
SAIDA_7_2M46_0.37R.csv	6853.18	12.00	264.51	124836	1	33751.8	0	0
SAIDA_9_2M46_0.37R.csv	7133.71	12.00	207.85	100109	1	32697	0	0
SAIDA_6_2M46_0.63R.csv	6584.29	19.00	233.42	79448	1	46969.1	0	0
SAIDA_2_2M46_0.63R.csv	7250.51	21.00	226.86	75256	1	49190.4	0	0
SAIDA_3_2M46_0.24R.csv	7411.31	8.00	123.88	75725	1	26226.9	0	0
SAIDA_8_2M46_0.50R.csv	6877.67	18.00	190.19	72365	1	42670.5	0	0
SAIDA_7_2M46_0.63R.csv	7020.67	21.00	240.16	84229	1	46076.8	0	0
SAIDA_4_2M46_0.24R.csv	7324.56	7.00	143.51	88511	1	25485.3	0	0
SAIDA_7_2M46_0.24R.csv	5385.39	8.00	118.11	77200	1	24804.2	0	0
SAIDA_4_2M46_0.63R.csv	7655.29	21.00	211.26	73743	1	45572	0	0
SAIDA_4_2M46_0.50R.csv	7170.74	17.00	213.99	89668	1	38589	0	0
SAIDA_8_2M46_0.37R.csv	6417.21	13.00	143.85	72869	1	32031.6	0	0
SAIDA_10_2M46_0.50R.csv	7639.90	17.00	182.45	73755	1	39909.1	0	0
SAIDA_9_2M46_0.63R.csv	6303.37	21.00	195.99	69803	1	45688.3	0	0
SAIDA_2_2M46_0.37R.csv	7418.66	13.00	170.24	78799	1	34537	0	0
SAIDA_9_2M46_0.76R.csv	6817.00	22.00	272.10	74483	1	59355.8	0	0
SAIDA_5_2M46_0.63R.csv	5533.57	23.00	244.68	78550	1	50602.2	0	0
SAIDA_1_2M46_0.63R.csv	6454.08	20.00	281.49	93563	1	48475.6	0	0
SAIDA_3_2M46_0.50R.csv	7598.98	16.00	229.69	89008	1	42230.2	0	0
SAIDA_1_2M46_0.76R.csv	6208.36	23.00	263.65	79715	1	53597.5	0	0
SAIDA_8_2M46_0.76R.csv	6509.18	26.00	293.72	82356	1	57768.5	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
SAIDA_5_2M46_0.50R.csv	7674.26	17.00	185.24	70840	1	42403.4	0	0
SAIDA_10_2M46_0.37R.csv	4676.61	12.00	197.36	93603	1	32938.6	0	0
SAIDA_6_2M46_0.50R.csv	5681.09	18.00	201.64	75388	1	42604.9	0	0
SAIDA_1_2M46_0.24R.csv	6414.81	7.00	113.79	71744	1	25741	0	0
SAIDA_2_2M46_0.24R.csv	6918.45	8.00	125.11	79923	1	24992.7	0	0
SAIDA_6_2M46_0.37R.csv	6813.21	11.00	181.49	84622	1	34098.6	0	0
