Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_3_2M38_0.50R.csv	3731.56	10.00	86.87	71200	1	19320	0	0
SAIDA_4_2M38_0.24R.csv	3815.70	4.00	50.01	66928	1	12132.4	0	0
SAIDA_8_2M38_0.63R.csv	3668.21	14.00	97.75	68470	1	22988.4	0	0
SAIDA_4_2M38_0.63R.csv	3336.53	14.00	187.09	117147	1	25166.8	0	0
SAIDA_6_2M38_0.24R.csv	4273.07	6.00	50.21	64302	1	12173.4	0	0
SAIDA_8_2M38_0.37R.csv	4289.72	7.00	61.99	67335	1	14602.7	0	0
SAIDA_2_2M38_0.24R.csv	4556.83	4.00	56.70	66760	1	13326.6	0	0
SAIDA_10_2M38_0.63R.csv	4242.84	15.00	95.05	60624	1	24649.3	0	0
SAIDA_2_2M38_0.63R.csv	4176.87	14.00	90.63	64488	1	22684.5	0	0
SAIDA_1_2M38_0.76R.csv	2920.81	19.00	105.85	63250	1	25932.5	0	0
SAIDA_10_2M38_0.50R.csv	4921.70	11.00	94.67	69658	1	21748.4	0	0
SAIDA_5_2M38_0.63R.csv	3139.25	13.00	109.36	69061	1	25173.7	0	0
SAIDA_5_2M38_0.76R.csv	4121.71	18.00	120.85	66494	1	28183.4	0	0
SAIDA_1_2M38_0.37R.csv	4123.87	8.00	63.63	64471	1	15448	0	0
SAIDA_3_2M38_0.24R.csv	4283.60	3.00	75.52	87922	1	13373.5	0	0
SAIDA_10_2M38_0.24R.csv	3819.92	5.00	58.97	65861	1	13526.4	0	0
SAIDA_7_2M38_0.76R.csv	3648.70	18.00	115.75	65315	1	28467.4	0	0
SAIDA_3_2M38_0.76R.csv	3902.35	18.00	120.01	68852	1	27758.2	0	0
SAIDA_7_2M38_0.37R.csv	4280.70	8.00	58.80	62494	1	14588.6	0	0
SAIDA_8_2M38_0.76R.csv	3560.62	18.00	111.88	64970	1	27732.6	0	0
SAIDA_2_2M38_0.76R.csv	4188.39	18.00	103.36	65301	1	25225.1	0	0
SAIDA_2_2M38_0.50R.csv	4064.17	10.00	94.71	72143	1	20441.4	0	0
SAIDA_6_2M38_0.37R.csv	3813.28	8.00	60.01	63734	1	14691.1	0	0
SAIDA_9_2M38_0.50R.csv	3252.80	9.00	83.40	63926	1	20521.3	0	0
SAIDA_9_2M38_0.37R.csv	3826.37	8.00	69.04	68809	1	15899.1	0	0
SAIDA_1_2M38_0.50R.csv	4132.15	10.00	95.75	73585	1	20079.5	0	0
SAIDA_3_2M38_0.37R.csv	4007.10	10.00	61.10	64940	1	14963.4	0	0
SAIDA_5_2M38_0.37R.csv	3792.87	8.00	64.35	61608	1	16440.7	0	0
SAIDA_8_2M38_0.24R.csv	4397.10	6.00	47.56	65142	1	11186.8	0	0
SAIDA_9_2M38_0.76R.csv	4530.95	16.00	118.16	75105	1	25314.9	0	0
SAIDA_6_2M38_0.50R.csv	4689.36	12.00	76.18	62379	1	19140.6	0	0
SAIDA_7_2M38_0.50R.csv	3138.33	11.00	80.90	63457	1	19924.5	0	0
SAIDA_5_2M38_0.24R.csv	4436.21	5.00	74.86	90137	1	12893.9	0	0
SAIDA_10_2M38_0.76R.csv	4766.05	17.00	119.78	71839	1	26331.6	0	0
SAIDA_4_2M38_0.50R.csv	3847.40	11.00	88.48	71877	1	19648.8	0	0
SAIDA_4_2M38_0.76R.csv	4501.85	18.00	112.50	63647	1	27796.7	0	0
SAIDA_10_2M38_0.37R.csv	4387.99	8.00	69.62	65226	1	16720.7	0	0
SAIDA_8_2M38_0.50R.csv	4218.88	11.00	91.95	64177	1	22492.1	0	0
SAIDA_4_2M38_0.37R.csv	3539.99	8.00	70.40	67123	1	16339.8	0	0
SAIDA_7_2M38_0.24R.csv	3316.93	4.00	49.30	64551	1	12009.8	0	0
SAIDA_1_2M38_0.63R.csv	4639.15	14.00	117.85	70039	1	26555.4	0	0
SAIDA_1_2M38_0.24R.csv	3813.93	3.00	53.79	67864	1	12588.4	0	0
SAIDA_6_2M38_0.76R.csv	4959.61	19.00	110.82	63716	1	27137.8	0	0
SAIDA_6_2M38_0.63R.csv	4480.14	13.17	108.31	71760	1	23955.6	0	0
SAIDA_9_2M38_0.63R.csv	4873.17	14.00	89.56	62934	1	22355.9	0	0
SAIDA_2_2M38_0.37R.csv	3984.49	9.00	68.91	63391	1	17395.2	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
SAIDA_5_2M38_0.50R.csv	4009.25	11.00	79.32	63453	1	20112.7	0	0
SAIDA_7_2M38_0.63R.csv	4153.79	14.00	97.70	69095	1	22273.1	0	0
SAIDA_3_2M38_0.63R.csv	4056.54	13.00	111.33	66702	1	26087.5	0	0
SAIDA_9_2M38_0.24R.csv	3612.41	5.00	52.65	63947	1	12829.7	0	0
