Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	Iteracoes	LS_best	swap2_avg_us	ins_avg_us	opt2_avg_us
SAIDA_4_2M38_53C.csv	3652.48	16.00	79.68	64433	1	19595.9	0	0
SAIDA_2_2M38_110C.csv	4388.27	6.00	107.95	86065	1	19743.7	0	0
SAIDA_6_2M38_110C.csv	4727.45	6.00	78.17	61639	1	20061.9	0	0
SAIDA_7_2M38_65C.csv	4502.13	13.00	79.86	64018	1	19269	0	0
SAIDA_10_2M38_95C.csv	3893.78	8.00	96.10	74828	1	20380.2	0	0
SAIDA_2_2M38_80C.csv	4239.60	10.00	113.14	87468	1	20368.3	0	0
SAIDA_6_2M38_53C.csv	4635.12	16.00	77.58	64426	1	19183.5	0	0
SAIDA_10_2M38_80C.csv	3531.46	10.00	84.99	64227	1	20476.3	0	0
SAIDA_6_2M38_95C.csv	3709.26	8.00	80.64	65736	1	19637.5	0	0
SAIDA_1_2M38_110C.csv	4172.60	5.00	84.28	66902	1	20214.2	0	0
SAIDA_5_2M38_80C.csv	3057.55	10.00	78.19	62565	1	19379.3	0	0
SAIDA_4_2M38_110C.csv	3886.59	5.00	84.80	66196	1	19795.7	0	0
SAIDA_9_2M38_65C.csv	4362.74	13.00	79.58	64899	1	19083.6	0	0
SAIDA_8_2M38_110C.csv	3911.47	7.00	77.92	64057	1	19485.8	0	0
SAIDA_2_2M38_53C.csv	3509.05	16.00	79.42	62348	1	19243.1	0	0
SAIDA_3_2M38_80C.csv	4008.81	10.00	81.55	64275	1	19981.3	0	0
SAIDA_9_2M38_110C.csv	3908.04	6.00	78.01	63659	1	19578.8	0	0
SAIDA_3_2M38_95C.csv	4914.38	8.00	86.53	63834	1	21556.2	0	0
SAIDA_5_2M38_110C.csv	3725.93	5.00	81.27	64503	1	19979.5	0	0
SAIDA_5_2M38_53C.csv	3278.11	16.00	89.43	73800	1	19167.7	0	0
SAIDA_7_2M38_110C.csv	3842.08	7.00	77.38	61216	1	19872.4	0	0
SAIDA_9_2M38_95C.csv	3020.78	8.00	76.90	67684	1	18176	0	0
SAIDA_7_2M38_53C.csv	4389.30	16.00	79.80	65434	1	19093.1	0	0
SAIDA_8_2M38_80C.csv	4413.27	9.00	88.74	65922	1	21155.3	0	0
SAIDA_10_2M38_110C.csv	3670.80	7.00	77.97	63977	1	19543	0	0
SAIDA_4_2M38_65C.csv	3492.19	14.00	84.61	63481	1	20553.5	0	0
SAIDA_7_2M38_80C.csv	3670.86	10.00	85.12	64591	1	20223.4	0	0
SAIDA_3_2M38_53C.csv	4538.81	17.00	77.27	63562	1	19219.7	0	0
SAIDA_1_2M38_80C.csv	3248.04	10.00	83.27	64913	1	20535.6	0	0
SAIDA_8_2M38_95C.csv	4147.37	8.00	81.26	64247	1	19577.2	0	0
SAIDA_4_2M38_95C.csv	3888.77	8.00	78.78	64588	1	19308.5	0	0
SAIDA_8_2M38_65C.csv	3282.96	13.00	87.75	68469	1	20155.1	0	0
SAIDA_7_2M38_95C.csv	4452.78	9.00	76.91	61288	1	19803	0	0
SAIDA_3_2M38_110C.csv	4025.50	4.00	80.44	64282	1	19902.7	0	0
SAIDA_8_2M38_53C.csv	4406.03	16.00	86.38	65998	1	20736.5	0	0
SAIDA_9_2M38_80C.csv	4070.26	10.00	79.24	64245	1	19600.2	0	0
SAIDA_2_2M38_65C.csv	3671.98	14.00	76.51	62505	1	19500.7	0	0
SAIDA_5_2M38_95C.csv	4073.52	8.00	84.00	63123	1	21123.4	0	0
SAIDA_1_2M38_95C.csv	3330.62	9.00	71.27	60669	1	18254.3	0	0
SAIDA_2_2M38_95C.csv	4108.28	7.00	87.01	66680	1	20750.8	0	0
SAIDA_9_2M38_53C.csv	3777.00	15.00	82.36	67274	1	19309.5	0	0
SAIDA_6_2M38_65C.csv	3208.14	14.00	78.82	60858	1	20987.3	0	0
SAIDA_1_2M38_53C.csv	4058.34	16.00	78.77	65025	1	18615.5	0	0
SAIDA_10_2M38_65C.csv	3722.87	14.00	76.63	64604	1	18761.6	0	0
SAIDA_1_2M38_65C.csv	4322.27	14.00	78.14	65074	1	18351.9	0	0
RESUMO.csv	Arquivo	Makespan_Inicial	Melhor_Makespan	Tempo_Execucao(s)	0	-1	-1	-1
SAIDA_3_2M38_65C.csv	3429.72	13.00	79.13	63349	1	19704.2	0	0
SAIDA_4_2M38_80C.csv	3876.92	10.00	77.79	62841	1	19485.6	0	0
SAIDA_5_2M38_65C.csv	3803.79	13.00	123.09	99467	1	19291.7	0	0
SAIDA_6_2M38_80C.csv	4548.92	10.00	89.39	65043	1	21438.7	0	0
SAIDA_10_2M38_53C.csv	3744.44	15.00	85.35	67862	1	20247.6	0	0
